Title,Author,Fandom,Relationship,Date,Word Number,Chapters,Kudos
Bunnies,PearlySaki,Naruto (Anime & Manga),Haruno Sakura/Hatake Kakashi,15 Sep 2024,"3,149",1/?,2
KONOHA NO SAKUYA BIME,Grace82,火影忍者（动漫和漫画）,Haruno Sakura/Hatake Kakashi,15 Sep 2024,"335,958",47/?,476
I have 9 soulmates,Grace82,Naruto (Anime & Manga),Haruno Sakura/Hatake Kakashi,14 Sep 2024,"44,119",7/?,162
jimsonweed,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Hatake Kakashi,11 Sep 2024,"10,923",2/2,1
Rainha do harém - English Version,CherryYui,Naruto (Anime & Manga),Haruno Sakura/Uchiha Sasuke,06 Sep 2024,"112,414",19/?,278
Rainha do Harém,CherryYui,Naruto (Anime & Manga),Haruno Sakura/Uchiha Sasuke,06 Sep 2024,"110,751",19/?,43
come in twos,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,05 Sep 2024,"2,764",1/1,1
obisaku studio theatre,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,05 Sep 2024,"1,043",2/?,2
Mirror's Edge,TiffaAngel,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,05 Sep 2024,"11,979",5/25,63
Tasmania,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,31 Aug 2024,735,1/1,3
Dead but Alive,Shezka29,Naruto (Anime & Manga),Haruno Sakura/Uchiha Sasuke,31 Aug 2024,"116,917",21/?,"2,392"
diaphanous compact,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Shisui,28 Aug 2024,"6,851",1/1,1
bad guy,Anonymous,Naruto (Anime & Manga),Haruno Sakura/Uchiha Madara,24 Aug 2024,"36,288",7/?,79
We can never build bridges unless the rivers run red,LIHOUA,Naruto,Haruno Sakura & Hatake Kakashi & Uchiha Sasuke & Uzumaki Naruto,07 Aug 2024,"22,539",12/35,434
Betrayal Can Only Lead to Death,FreedomToWrite,Naruto,Haruno Sakura & Uchiha Itachi,03 Aug 2024,"119,147",8/?,31
You Can Run (But You Can't Hide),Koneko_taichou,Naruto (Anime & Manga),Haruno Sakura & Yamanaka Ino,31 Jul 2024,"2,872",1/1,34
Omertosa,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,27 Jul 2024,"3,519",1/1,2
A Lesson in Respecting STRONG Girlbosses,Mrs_sapphire_fire,Naruto (Anime & Manga),Haruno Sakura/Uchiha Sasuke,24 Jul 2024,19,1/1,21
Cuddles,ZadedIvey,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,14 Jul 2024,911,1/1,4
her young boy,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,05 Jul 2024,"2,769",1/1,3
hurt like hell (to be well),viridian_house,Naruto,Haruno Sakura/Uchiha Madara,03 Jul 2024,"11,793",4/6,98
Sakura Badass Haruno,DuchessAri,Naruto,Haruno Sakura/Uzumaki Naruto,01 Jul 2024,"30,645",6/?,191
